Time;V ph.angle phase A;V ph.angle phase B;V ph.angle phase C
2019-03-19T01:11:40+01:00;0.468458;-1.625263;-1.656131
2019-03-19T01:11:41+01:00;-0.773218;-2.867051;1.519188
2019-03-19T01:11:44+01:00;1.025455;-1.068125;0.228641
2019-03-19T01:11:45+01:00;-0.252742;-2.345502;-0.759457
2019-03-19T01:11:46+01:00;-1.056817;3.134842;2.578516
2019-03-19T01:11:47+01:00;-2.12072;2.068802;2.951002
2019-03-19T01:11:50+01:00;0.791001;-1.301181;-3.13086
2019-03-19T01:11:51+01:00;-0.002744;-2.096131;-1.345961
2019-03-19T01:11:54+01:00;-2.720968;1.470186;-1.56626
2019-03-19T01:11:55+01:00;2.245154;0.153383;1.552971
2019-03-19T01:11:56+01:00;1.467895;-0.625377;-1.09844
2019-03-19T01:11:57+01:00;0.812276;-1.281101;-0.889727
2019-03-19T01:11:58+01:00;-0.303142;-2.396347;2.296268
2019-03-19T01:12:01+01:00;2.452518;0.360796;2.210138
2019-03-19T01:12:02+01:00;1.687178;-0.406108;1.282612
2019-03-19T01:12:03+01:00;0.885767;-1.206926;2.010618
2019-03-19T01:12:04+01:00;0.126072;-1.967345;0.199793
2019-03-19T01:12:07+01:00;2.370894;0.27927;2.491306
2019-03-19T01:12:08+01:00;1.656674;-0.43638;2.871093
2019-03-19T01:12:09+01:00;1.035782;-1.057259;null
2019-03-19T01:12:10+01:00;0.347066;-1.747173;2.8356
2019-03-19T01:12:11+01:00;-0.332414;-2.428267;-3.017991
2019-03-19T01:12:14+01:00;3.024423;0.928855;1.093153
2019-03-19T01:12:15+01:00;2.243132;0.151832;2.448668
2019-03-19T01:12:20+01:00;1.893359;-0.19867;0.335882
2019-03-19T01:12:21+01:00;0.744034;-1.348195;-1.758203
2019-03-19T01:12:24+01:00;2.916599;0.821644;1.312614
2019-03-19T01:12:25+01:00;1.549509;-0.543739;2.219898
2019-03-19T01:12:26+01:00;0.726038;-1.368398;-0.261559
2019-03-19T01:12:27+01:00;-0.917651;-3.011229;-1.514596
2019-03-19T01:12:28+01:00;-2.085904;2.104635;0.144651
2019-03-19T01:12:31+01:00;-0.924935;-3.018974;0.905209
2019-03-19T01:12:32+01:00;-2.371071;1.819521;1.847258
2019-03-19T01:12:37+01:00;1.800678;-0.297252;0.956258
2019-03-19T01:12:38+01:00;0.272809;-1.821393;-2.406152
2019-03-19T01:12:39+01:00;-0.812159;-2.906573;1.947847
2019-03-19T01:12:41+01:00;1.569474;-0.522551;1.787916
2019-03-19T01:12:42+01:00;0.493996;-1.600141;2.711913
2019-03-19T01:12:43+01:00;-1.493371;2.696961;2.287654
2019-03-19T01:12:44+01:00;-2.577137;1.617122;-1.399681
2019-03-19T01:12:45+01:00;2.281932;0.190696;-2.569486
2019-03-19T01:12:47+01:00;-0.942701;-3.036591;-2.936573
2019-03-19T01:12:48+01:00;-2.29275;1.897793;0.502077
