Time;I ph.angle phase A;I ph.angle phase B;I ph.angle phase C
2019-03-19T01:13:11+01:00;-1.370382;2.940861;2.44875
2019-03-19T01:13:12+01:00;-2.198507;1.955016;-2.627935
2019-03-19T01:13:13+01:00;2.82845;0.89496;-0.941254
2019-03-19T01:13:17+01:00;-2.109579;2.115068;-0.536074
2019-03-19T01:13:18+01:00;-2.805017;1.334587;-0.291381
2019-03-19T01:13:19+01:00;2.395829;0.276452;1.308376
2019-03-19T01:13:24+01:00;2.897984;0.565431;-1.362088
2019-03-19T01:13:25+01:00;1.581377;-0.397436;0.016046
2019-03-19T01:13:26+01:00;0.825573;-1.316877;2.204876
2019-03-19T01:13:33+01:00;0.351484;-1.635011;2.931574
2019-03-19T01:13:34+01:00;-0.38218;-2.361952;-2.45567
2019-03-19T01:13:40+01:00;1.625842;-0.50057;1.739914
2019-03-19T01:13:41+01:00;0.566914;-1.431117;1.334809
2019-03-19T01:13:48+01:00;-2.519282;1.68649;2.883335
2019-03-19T01:13:49+01:00;2.954765;0.939727;2.698694
2019-03-19T01:13:57+01:00;0.779662;-1.303676;0.220669
2019-03-19T01:13:58+01:00;-0.331658;-2.437134;2.349678
2019-03-19T01:14:03+01:00;-1.490029;2.798052;-0.58112
2019-03-19T01:14:04+01:00;-2.540146;1.696186;1.68262
2019-03-19T01:14:05+01:00;2.758401;null;null
2019-03-19T01:14:07+01:00;0.193942;-2.0013;1.677852
2019-03-19T01:14:08+01:00;-0.370091;-2.615299;0.229755
2019-03-19T01:14:09+01:00;-1.361312;2.912348;1.541363
2019-03-19T01:14:10+01:00;-2.488594;1.866764;-0.62934
2019-03-19T01:14:11+01:00;2.941931;1.002413;-1.651037
2019-03-19T01:14:14+01:00;0.123934;-1.750114;2.650462
2019-03-19T01:14:15+01:00;-0.380071;-2.582397;1.446618
2019-03-19T01:14:20+01:00;0.383605;-1.815953;1.820593
2019-03-19T01:14:21+01:00;-0.662883;-2.890746;0.267893
2019-03-19T01:14:22+01:00;-1.909135;2.248113;-1.087786
2019-03-19T01:14:27+01:00;-0.944745;-3.013816;1.459663
2019-03-19T01:14:28+01:00;-2.396366;1.968833;-0.233675
2019-03-19T01:14:31+01:00;-1.227716;2.993153;-0.215691
2019-03-19T01:14:32+01:00;-2.872391;1.102255;-2.253123
2019-03-19T01:14:33+01:00;1.333513;-0.748859;-1.896288
2019-03-19T01:14:34+01:00;0.24994;-1.848431;-2.188287
2019-03-19T01:14:35+01:00;1.023822;-1.043101;-0.126613
2019-03-19T01:14:37+01:00;null;null;-2.110423
2019-03-19T01:14:38+01:00;2.152719;0.02841;-1.928591
2019-03-19T01:14:39+01:00;0.949154;-1.159717;-2.441332
2019-03-19T01:14:44+01:00;2.215098;-0.077958;-2.811974
2019-03-19T01:14:45+01:00;1.311648;-0.829211;1.990058
2019-03-19T01:14:50+01:00;1.195021;-0.91962;-2.929748
2019-03-19T01:14:51+01:00;0.413705;-1.676185;2.999428
2019-03-19T01:14:52+01:00;-0.71025;-2.757773;-2.966078
2019-03-19T01:14:55+01:00;1.166445;-0.990292;2.730033
2019-03-19T01:14:56+01:00;-0.010478;-2.014382;1.94723
2019-03-19T01:14:57+01:00;-0.502052;-2.714559;1.321401
2019-03-19T01:14:58+01:00;-1.436221;2.871557;0.093896
2019-03-19T01:15:01+01:00;1.691478;-0.245656;0.263421
